AEC,#genre#
AEC-1,https://smt.1678520.xyz/smt3.2.1.php?id=AEC
AEC-2,https://o11.163189.xyz/stream/live/aec/
AEC-3,http://php.jdshipin.com/smt.php?id=AEC
AEC-4,http://96.44.160.246:9999/smt.php?id=AEC?WithCaptionAEC
AEC-5,https://cdn9.163189.xyz/smt1.1.php?id=AEC
AEC-6,https://cdn9.163189.xyz/smt3.1.1.php?id=AEC
AEC-7,http://smt.veryfast.filegear-sg.me/smt3.2.1.php?id=AEC
AEC-8,https://t.freetv.fun/live/astro-aec.m3u8
AEC-9,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=629P4l&tk=IaRTZBNZkJti
AEC-10(6am-6pm),http://iptv12k.com:35461/live/test167/12345/709.m3u8#http://iptv12k.com:35461/live/test167/12345/13597.m3u8?WithCaption#http://iptv12k.com:35461/live/test167/12345/4341.m3u8

歡喜臺,#genre#
歡喜臺333-1,http://php.jdshipin.com/smt.php?id=Huahee
歡喜臺333-2,http://php.jdshipin.com:8880/smt.php?id=Huahee
歡喜臺333-3,http://smt.1678520.xyz/smt3.2.1.php?id=Huahee
欢喜台-1,https://cdn9.163189.xyz/smt3.1.1.php?id=Huahee
欢喜台-2,https://cdn9.163189.xyz/smt1.1.php?id=Huahee
欢喜台-3,http://php.jdshipin.com:8880/smt.php?id=Huahee
欢喜台-4,http://smt.veryfast.filegear-sg.me/smt3.2.1.php?id=Huahee
欢喜台-5,http://o11.163189.xyz/stream/live/hxt/
欢喜台-6,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=6syHOW&tk=IaRTZBNZkJti


全佳,#genre#
全佳-1,https://smt.1678520.xyz/smt3.2.1.php?id=Quanjia
全佳-2,https://o11.163189.xyz/stream/live/qj/
全佳-3,http://php.jdshipin.com:8880/smt.php?id=Quanjia@http://php.jdshipin.com/smt.php?id=Quanjia
QJ-1,https://smt.1678520.xyz/smt3.2.1.php?id=Quanjia
QJ-2,https://cdn9.163189.xyz/smt3.1.1.php?id=Quanjia
QJ-3,http://php.jdshipin.com:8880/smt.php?id=Quanjia
QJ-4,https://cdn9.163189.xyz/smt1.1.php?id=Quanjia
QJ-5,http://smt.veryfast.filegear-sg.me/smt3.2.1.php?id=Quanjia
QJ-6,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=rcy05R&tk=IaRTZBNZkJti


爱奇艺,#genre#
爱奇艺-1,https://o11.163189.xyz/stream/live/iqiyi/
爱奇艺-2,http://php.jdshipin.com:8880/smt.php?id=Qiyi
爱奇艺-3,https://smt.1678520.xyz/smt3.2.1.php?id=Qiyi
爱奇艺-4,https://cdn9.163189.xyz/smt3.1.1.php?id=Qiyi
爱奇艺-5,https://cdn9.163189.xyz/smt1.1.php?id=Qiyi
爱奇艺-6,http://smt.veryfast.filegear-sg.me/smt3.2.1.php?id=Qiyi
爱奇艺-7,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=yc2YvJ&tk=IaRTZBNZkJti


华丽台,#genre#
华丽台-1,http://php.jdshipin.com/TVOD/iptv.php?id=huali
华丽台-2,https://o11.163189.xyz/stream/live/hlt/
华丽台-3,https://o11.163189.xyz/stream/live/jade/
华丽翡翠台,http://v2h.veryfast.filegear-sg.me/live/hlfct/stream.m3u8
华丽翡翠台,http://o11.163189.xyz/stream/live/hlt/

翡翠台.#genre#
翡翠台4K(多音轨字幕),https://o11.163189.xyz/stream/tvb/fct4k/
翡翠台4K,http://4g.969777.xyz/https://969777.xyz/epg/smg/87088
翡翠台字幕,http://mytv.cdn.loc.cc/o12.php?id=fct
翡翠台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=C8GNyX&tk=IaRTZBNZkJti


经典台,#genre#
Astro AOD,https://o11.163189.xyz/stream/live/aod/#http://php.jdshipin.com/TVOD/iptv.php?id=aod
千禧经典台,https://o11.163189.xyz/stream/live/tvbc/
TVB星河,https://o11.163189.xyz/stream/live/tvbxh
无线新闻台,https://cdn6.101.qzz.io/163189/wxxw
NOW新闻,https://cdn.163189.xyz/163189/now
TVB PLUS,https://o11.163189.xyz/stream/tvb/tvbp/
明珠台,https://o11.163189.xyz/stream/tvb/mzt/
RTHK31,https://cdn.163189.xyz/163189/rthk31
RTHK32,https://cdn.163189.xyz/163189/rthk32
HOY77,https://cdn6.101.qzz.io/163189/hoy
ViuTV,https://cdn.163189.xyz/163189/viu

新加波,#genre#
新加波5频道,https://cdn6.101.qzz.io/163189/ch5
新加波8频道,https://cdn6.101.qzz.io/163189/ch8
新加波U频道,https://cdn6.101.qzz.io/163189/ch

八度空間,#genre#
八度空間-1,http://php.jdshipin.com:8880/smt.php?id=TV8
八度空間-2,http://smt.veryfast.filegear-sg.me/smt3.2.1.php?id=TV8
八度空間-3,http://php.jdshipin.com:8880/smt.php?id=TV8
八度空間-4,http://iptv.4666888.xyz/iptv2A.php?id=52
TV8-1,http://cdn6.163189.xyz/163189/8tv
TV8-2,http://103.209.159.198:8278/TV8/playlist.m3u8?tid=mc609f36f8a214&ct=11617719300&tsum=00b4c592927a6544f7a9d511add1d1df
TV8-3,https://mifntechnology.github.io/siaranMy/channels/8tv/index.m3u8
TV8-4,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=1rLKNE&tk=IaRTZBNZkJti

M'sia News,#genre#
TV2,http://96.44.160.246:9999/smt.php?id=TV2?WithCaption
TV2-2,https://linear08-playback.sooka.my/CH1/masterCH1.mpd
Awani,https://mifntechnology.github.io/siaranMy/channels/AstroAwani/index.m3u8
Awani-2,https://d2idp3hzkhjpih.cloudfront.net/out/v1/4b85d9c2bf97413eb0c9fd875599b837/index.m3u8?c
Berita RTM,https://d25tgymtnqzu8s.cloudfront.net/smil:berita/playlist.m3u8?id=5
Berita RTM-2,https://mifntechnology.github.io/siaranMy/channels/BeritaRTM/index.m3u8
Bernama Tv,https://raw.githubusercontent.com/MIFNtechnology/YtM3u8/github-private/bernama/live.m3u8

鳳凰,#genre#
凤凰中文-1,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd
凤凰中文-2,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=c1Ze9v&tk=IaRTZBNZkJti
凤凰中文-3,https://cdn9.163189.xyz/smt3.1.1.php?id=phoenixtv_hd
凤凰中文-4,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰中文-5,http://r.jdshipin.com/cCCzW
凤凰中文-6,http://61.184.46.85:85/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰中文-7,https://smt.1678520.xyz/smt3.2.1.php?id=phoenixtv_hd
凤凰中文-8,http://bxtv.3a.ink/api.php?id=fhzw

鳳凰資訊-1,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd
鳳凰資訊-2,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=ZODaRO&tk=IaRTZBNZkJti
鳳凰資訊-3,http://bestp55.xyz:80/A7FC77529786/519C32219872/1052577
鳳凰資訊-4,http://bestp55.xyz:80/A7FC77529786/519C32219872/1052576
鳳凰資訊-5,http://bestp55.xyz:80/A7FC77529786/519C32219872/1052578
凤凰资讯-6,http://r.jdshipin.com/0Rp07
凤凰资讯-7,https://cdn9.163189.xyz/smt3.1.1.php?id=phoenixinfo_hd
凤凰资讯-8,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx


滚石30周年,#genre#
滚石30周年1,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=O5fSpo&tk=IaRTZBNZkJti
滚石30周年2,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=VzMFp3&tk=IaRTZBNZkJti
